35	이진영	21KCF	0.052	16	11	107.0	26	25	1	0	1.000	2.19	0.20	0.30	0.00	0.00	0.06	0.56	6.22	-0.03	0.53	0.055	0.052
36	최정민	21KLF	0.042	15	3	49.0	11	11	0	0	1.000	2.02	0.54	-0.09	0.00	0.00	0.02	0.47	11.54	-0.05	0.43	0.047	0.042
37	박정우	21KLF	0.041	32	16	159.0	48	47	1	0	1.000	2.72	0.32	-0.07	0.00	0.00	0.08	0.33	2.49	0.07	0.40	0.033	0.041
38	최형우	21KLF	0.037	2	1	10.0	4	4	0	0	1.000	3.60	0.42	-0.00	0.00	0.00	0.00	0.42	50.38	-0.05	0.37	0.042	0.037
39	신민재	21LLF	0.037	11	0	24.0	5	5	0	0	1.000	1.88	0.47	-0.11	0.00	0.00	0.01	0.37	18.60	-0.01	0.37	0.037	0.037
40	강로한	21롯LF	0.031	16	7	79.2	35	34	0	1	.971	3.84	0.30	0.12	0.00	0.00	-0.16	0.25	3.76	0.06	0.31	0.025	0.031
41	국해성	21두RF	0.025	3	1	13.0	2	2	0	0	1.000	1.39	0.32	-0.02	0.00	0.00	0.01	0.31	28.79	-0.07	0.25	0.032	0.025
42	최민창	21LLF	0.023	4	0	6.0	    1	1	0	0	1.000	1.50	0.25	-0.02	0.00	0.00	0.00	0.24	47.43	-0.01	0.23	0.024	0.023
43	추재현	21롯LF	0.020	96	68	585.1	145	138	5	2	.986	2.20	0.30	0.85	0.00	0.00	-0.11	1.05	2.14	-0.85	0.20	0.105	0.020
44	권민석	21두LF	0.016	1	0	1.0	    1	1	0	0	1.000	9.00	0.17	-0.00	0.00	0.00	0.00	0.17	203.57	-0.01	0.16	0.017	0.016
45	오재원	21두CF	0.015	2	0	2.1	    1	0	1	0	1.000	3.86	-0.68	0.83	0.00	0.00	0.00	0.15	78.38	-0.01	0.15	0.015	0.015
46	문상철	21KLF	0.015	3	0	3.1	    1	1	0	0	1.000	2.70	0.17	-0.01	0.00	0.00	0.00	0.16	58.36	-0.02	0.15	0.016	0.015
47	유서준	21SCF	0.014	3	0	4.0	    2	2	0	0	1.000	4.50	0.17	-0.02	0.00	0.00	0.00	0.15	44.57	-0.01	0.14	0.015	0.014
